datetime,value
2024-07-01,903623.177
2024-10-01,996706.932
2025-01-01,898365.308
2025-04-01,925330.265
2025-07-01,970440.79
2025-10-01,1065548.653
2026-01-01,963883.203
2026-04-01,992221.957
2026-07-01,1038951.841
2026-10-01,1136042.352
2027-01-01,1031069.067
2027-04-01,1060811.63
2027-07-01,1109155.926
2027-10-01,1208188.005
2028-01-01,1099923.277
2028-04-01,1131099.33
2028-07-01,1181052.644
2028-10-01,1281985.592
2029-01-01,1170446.208
2029-04-01,1203085.096
2029-07-01,1254641.596
2029-10-01,1357435.1
2030-01-01,1242638.235
2030-04-01,1276768.965
