datetime,value
2024-07-01,864149.9
2024-10-01,955205.6
2025-01-01,847240.7
2025-04-01,873986.5
2025-07-01,877960.8
2025-10-01,967363.1
2026-01-01,861211.1
2026-04-01,887676.8
2026-07-01,891602.4
2026-10-01,979280.6
2027-01-01,875051.1
2027-04-01,901168.4
2027-07-01,905016.2
2027-10-01,990962.9
2028-01-01,888728.4
2028-04-01,914392.9
2028-07-01,918164.6
2028-10-01,1002414.5
2029-01-01,902199.1
2029-04-01,927356.1
2029-07-01,931053.4
2029-10-01,1013639.9
2030-01-01,915403.2
2030-04-01,940063.5
