datetime,value
2024-10-01,7.38
2024-11-01,8.94
2024-12-01,8.792
2025-01-01,7.997
2025-02-01,7.075
2025-03-01,6.26
2025-04-01,5.652
2025-05-01,5.281
2025-06-01,5.138
2025-07-01,5.189
2025-08-01,5.388
2025-09-01,5.685
2025-10-01,6.03
2025-11-01,6.382
2025-12-01,6.707
2026-01-01,6.98
2026-02-01,7.187
2026-03-01,7.324
2026-04-01,7.393
2026-05-01,7.403
2026-06-01,7.365
2026-07-01,7.294
2026-08-01,7.204
2026-09-01,7.107
2026-10-01,7.013
2026-11-01,6.931
2026-12-01,6.865
2027-01-01,6.819
2027-02-01,6.792
2027-03-01,6.782
2027-04-01,6.787
2027-05-01,6.802
2027-06-01,6.825
2027-07-01,6.851
2027-08-01,6.878
2027-09-01,6.902
2027-10-01,6.922
2027-11-01,6.938
2027-12-01,6.948
2028-01-01,6.952
2028-02-01,6.953
2028-03-01,6.95
2028-04-01,6.944
2028-05-01,6.937
2028-06-01,6.93
2028-07-01,6.923
2028-08-01,6.917
2028-09-01,6.912
2028-10-01,6.909
2028-11-01,6.907
2028-12-01,6.906
2029-01-01,6.906
2029-02-01,6.908
2029-03-01,6.909
2029-04-01,6.911
2029-05-01,6.913
2029-06-01,6.915
2029-07-01,6.917
2029-08-01,6.918
2029-09-01,6.919
2029-10-01,6.919
2029-11-01,6.919
2029-12-01,6.919
2030-01-01,6.918
2030-02-01,6.918
2030-03-01,6.917
2030-04-01,6.917
2030-05-01,6.916
2030-06-01,6.916
2030-07-01,6.916
2030-08-01,6.915
2030-09-01,6.915
