datetime,value
2024-09-01,5.2
2024-10-01,5.2
2024-11-01,5.2
2024-12-01,5.2
2025-01-01,5.4
2025-02-01,5.4
2025-03-01,5.3
2025-04-01,5.2
2025-05-01,5.2
2025-06-01,5.1
2025-07-01,5.2
2025-08-01,5.2
2025-09-01,5.3
2025-10-01,5.3
2025-11-01,5.3
2025-12-01,5.3
2026-01-01,5.4
2026-02-01,5.4
2026-03-01,5.4
2026-04-01,5.3
2026-05-01,5.3
2026-06-01,5.3
2026-07-01,5.3
2026-08-01,5.3
2026-09-01,5.3
2026-10-01,5.3
2026-11-01,5.3
2026-12-01,5.4
2027-01-01,5.4
2027-02-01,5.4
2027-03-01,5.4
2027-04-01,5.4
2027-05-01,5.3
2027-06-01,5.3
2027-07-01,5.3
2027-08-01,5.3
2027-09-01,5.4
2027-10-01,5.4
2027-11-01,5.4
2027-12-01,5.4
2028-01-01,5.4
2028-02-01,5.4
2028-03-01,5.4
2028-04-01,5.4
2028-05-01,5.4
2028-06-01,5.4
2028-07-01,5.4
2028-08-01,5.4
2028-09-01,5.4
2028-10-01,5.4
2028-11-01,5.4
2028-12-01,5.4
2029-01-01,5.4
2029-02-01,5.4
2029-03-01,5.4
2029-04-01,5.4
2029-05-01,5.4
2029-06-01,5.4
2029-07-01,5.4
2029-08-01,5.4
2029-09-01,5.4
2029-10-01,5.4
2029-11-01,5.4
2029-12-01,5.4
2030-01-01,5.4
2030-02-01,5.4
2030-03-01,5.4
2030-04-01,5.4
2030-05-01,5.4
2030-06-01,5.4
2030-07-01,5.4
2030-08-01,5.4
