datetime,year,quarter,month,gdp,inflation,unemployment
1982-01-01,1982,,1.0,,53.19999999999999,
1982-02-01,1982,,2.0,,106.4,
1982-03-01,1982,,3.0,,110.69999999999999,
1982-04-01,1982,,4.0,,104.1,
1982-05-01,1982,,5.0,,108.4,
1982-06-01,1982,,6.0,,111.9,
1982-07-01,1982,,7.0,,113.30000000000001,
1982-08-01,1982,,8.0,,114.9,
1982-09-01,1982,,9.0,,108.5,
1982-10-01,1982,,10.0,,101.0,
1982-11-01,1982,,11.0,,97.9,
1982-12-01,1982,,12.0,,75.0,
1983-01-01,1983,,1.0,,67.30000000000001,
1983-02-01,1983,,2.0,,31.5,
1983-03-01,1983,,3.0,,26.700000000000003,
1983-04-01,1983,,4.0,,26.900000000000006,
1983-05-01,1983,,5.0,,24.700000000000003,
1983-06-01,1983,,6.0,,23.0,
1983-07-01,1983,,7.0,,19.200000000000003,
1983-08-01,1983,,8.0,,19.299999999999997,
1983-09-01,1983,,9.0,,18.799999999999997,
1983-10-01,1983,,10.0,,18.5,
1983-11-01,1983,,11.0,,18.200000000000003,
1983-12-01,1983,,12.0,,18.200000000000003,
1984-01-01,1984,,1.0,,15.599999999999994,
1984-02-01,1984,,2.0,,13.400000000000006,
1984-03-01,1984,,3.0,,12.400000000000006,
1984-04-01,1984,,4.0,,11.400000000000006,
1984-05-01,1984,,5.0,,12.099999999999994,
1984-06-01,1984,,6.0,,12.900000000000006,
1984-07-01,1984,,7.0,,13.700000000000003,
1984-08-01,1984,,8.0,,12.5,
1984-09-01,1984,,9.0,,12.799999999999997,
1984-10-01,1984,,10.0,,12.599999999999994,
1984-11-01,1984,,11.0,,13.5,
1984-12-01,1984,,12.0,,14.200000000000003,
1985-01-01,1985,,1.0,,13.200000000000003,
1985-02-01,1985,,2.0,,10.299999999999997,
1985-03-01,1985,,3.0,,11.900000000000006,
1985-04-01,1985,,4.0,,11.599999999999994,
1985-05-01,1985,,5.0,,11.799999999999997,
1985-06-01,1985,,6.0,,13.0,
1985-07-01,1985,,7.0,,15.099999999999994,
1985-08-01,1985,,8.0,,15.400000000000006,
1985-09-01,1985,,9.0,,15.900000000000006,
1985-10-01,1985,,10.0,,16.099999999999994,
1985-11-01,1985,,11.0,,15.799999999999997,
1985-12-01,1985,,12.0,,16.700000000000003,
1986-01-01,1986,,1.0,,17.099999999999994,
1986-02-01,1986,,2.0,,17.799999999999997,
1986-03-01,1986,,3.0,,18.0,
1986-04-01,1986,,4.0,,19.200000000000003,
1986-05-01,1986,,5.0,,20.5,
1986-06-01,1986,,6.0,,18.200000000000003,
1986-07-01,1986,,7.0,,14.400000000000006,
1986-08-01,1986,,8.0,,15.200000000000003,
1986-09-01,1986,,9.0,,16.299999999999997,
1986-10-01,1986,,10.0,,17.900000000000006,
1986-11-01,1986,,11.0,,17.5,
1986-12-01,1986,,12.0,,17.099999999999994,
1987-01-01,1987,,1.0,,18.099999999999994,
1987-02-01,1987,,2.0,,19.200000000000003,
1987-03-01,1987,,3.0,,17.900000000000006,
1987-04-01,1987,,4.0,,23.099999999999994,
1987-05-01,1987,,5.0,,23.900000000000006,
1987-06-01,1987,,6.0,,25.799999999999997,
